State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Totals.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.12-17,Totals.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.12-17
Alabama,2002,380805,499453,2812905,18,0.048336,57,1048,0.150033,52,0.136906,6,0.016556,20,0.059732,24,0.063662,49,0.127535,63,0.166578
Alaska,2002,69400,62791,368460,4,0.061479,11,206,0.158988,9,0.132517,2,0.0244,4,0.077736,8,0.110781,13,0.18873,11,0.163918
Arizona,2002,485521,602265,3329482,36,0.073819,91,1774,0.186864,62,0.128357,16,0.032411,25,0.064179,38,0.077371,82,0.169646,73,0.151071
Arkansas,2002,232986,302029,1687337,14,0.061457,39,664,0.167065,37,0.160479,4,0.018643,13,0.06671,19,0.07967,37,0.157567,46,0.195714
California,2002,3140739,3919577,21392421,173,0.055109,480,11847,0.152791,235,0.074824,53,0.016995,158,0.058786,241,0.076595,443,0.141067,290,0.092235
Colorado,2002,385648,493921,2798960,26,0.067113,80,1758,0.20633,53,0.137437,10,0.026412,23,0.075936,38,0.098228,75,0.195456,67,0.174446
Connecticut,2002,295157,323120,2235763,16,0.053908,56,1364,0.188769,40,0.134487,5,0.018187,20,0.083099,27,0.092197,52,0.175776,45,0.151937
Delaware,2002,66477,88388,514059,4,0.057563,12,287,0.183472,9,0.140664,1,0.016101,4,0.079415,6,0.094062,12,0.181989,11,0.163023
District of Columbia,2002,33192,73655,372907,1,0.029961,4,218,0.130168,2,0.070956,0,0.006466,2,0.068901,2,0.074326,5,0.148342,3,0.095288
Florida,2002,1346297,1576278,11066322,73,0.053965,234,6162,0.173502,165,0.122611,26,0.019419,77,0.067541,115,0.085194,217,0.161342,193,0.143359
Georgia,2002,748467,945489,5202846,36,0.04781,113,2571,0.150875,96,0.128338,13,0.016771,40,0.059333,51,0.068659,106,0.142048,118,0.157931
